experiment_id,model,gpu_memory_utilization,max_num_seqs,max_model_len,input_len,output_len,num_prompts,request_rate,seed
mr-xfer-online-qwen25_1p5b-gsm8k_long-u60-r1p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,1.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u60-r3p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,3.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u60-r3p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,3.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u60-r3p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,3.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u60-r8p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,8.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u60-r8p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,8.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u60-r8p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,8.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u70-r1p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,1.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u70-r1p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,1.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u70-r1p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,1.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u70-r3p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,3.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u70-r3p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,3.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u70-r3p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,3.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u70-r8p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,8.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u70-r8p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,8.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u70-r8p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,8.0,63
mr-xfer-online-qwen25_3b-gsm8k_long-u30-r0p5-s61,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,0.5,61
mr-xfer-online-qwen25_3b-gsm8k_long-u30-r0p5-s62,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,0.5,62
mr-xfer-online-qwen25_3b-gsm8k_long-u30-r0p5-s63,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,0.5,63
mr-xfer-online-qwen25_3b-gsm8k_long-u30-r1p5-s61,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,1.5,61
mr-xfer-online-qwen25_3b-gsm8k_long-u30-r1p5-s62,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,1.5,62
mr-xfer-online-qwen25_3b-gsm8k_long-u30-r1p5-s63,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,1.5,63
mr-xfer-online-qwen25_3b-gsm8k_long-u30-r4p0-s61,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,4.0,61
mr-xfer-online-qwen25_3b-gsm8k_long-u30-r4p0-s62,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,4.0,62
mr-xfer-online-qwen25_3b-gsm8k_long-u30-r4p0-s63,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,4.0,63
mr-xfer-online-qwen25_3b-gsm8k_long-u40-r0p5-s61,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,0.5,61
mr-xfer-online-qwen25_3b-gsm8k_long-u40-r0p5-s62,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,0.5,62
mr-xfer-online-qwen25_3b-gsm8k_long-u40-r0p5-s63,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,0.5,63
mr-xfer-online-qwen25_3b-gsm8k_long-u40-r1p5-s61,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,1.5,61
mr-xfer-online-qwen25_3b-gsm8k_long-u40-r1p5-s62,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,1.5,62
mr-xfer-online-qwen25_3b-gsm8k_long-u40-r1p5-s63,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,1.5,63
mr-xfer-online-qwen25_3b-gsm8k_long-u40-r4p0-s61,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,4.0,61
mr-xfer-online-qwen25_3b-gsm8k_long-u40-r4p0-s62,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,4.0,62
mr-xfer-online-qwen25_3b-gsm8k_long-u40-r4p0-s63,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,4.0,63
mr-xfer-online-qwen25_3b-gsm8k_long-u50-r0p5-s61,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,0.5,61
mr-xfer-online-qwen25_3b-gsm8k_long-u50-r0p5-s62,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,0.5,62
mr-xfer-online-qwen25_3b-gsm8k_long-u50-r0p5-s63,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,0.5,63
mr-xfer-online-qwen25_3b-gsm8k_long-u50-r1p5-s61,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,1.5,61
mr-xfer-online-qwen25_3b-gsm8k_long-u50-r1p5-s62,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,1.5,62
mr-xfer-online-qwen25_3b-gsm8k_long-u50-r1p5-s63,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,1.5,63
mr-xfer-online-qwen25_3b-gsm8k_long-u50-r4p0-s61,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,4.0,61
mr-xfer-online-qwen25_3b-gsm8k_long-u50-r4p0-s62,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,4.0,62
mr-xfer-online-qwen25_3b-gsm8k_long-u50-r4p0-s63,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,4.0,63
mr-xfer-online-qwen25_3b-gsm8k_long-u60-r0p5-s61,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,0.5,61
mr-xfer-online-qwen25_3b-gsm8k_long-u60-r0p5-s62,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,0.5,62
mr-xfer-online-qwen25_3b-gsm8k_long-u60-r0p5-s63,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,0.5,63
mr-xfer-online-qwen25_3b-gsm8k_long-u60-r1p5-s61,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,1.5,61
mr-xfer-online-qwen25_3b-gsm8k_long-u60-r1p5-s62,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,1.5,62
mr-xfer-online-qwen25_3b-gsm8k_long-u60-r1p5-s63,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,1.5,63
mr-xfer-online-qwen25_3b-gsm8k_long-u60-r4p0-s61,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,4.0,61
mr-xfer-online-qwen25_3b-gsm8k_long-u60-r4p0-s62,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,4.0,62
mr-xfer-online-qwen25_3b-gsm8k_long-u60-r4p0-s63,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,4.0,63
mr-xfer-online-qwen25_1p5b-math_short-u45-r2p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,2.0,61
mr-xfer-online-qwen25_1p5b-math_short-u45-r2p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,2.0,62
mr-xfer-online-qwen25_1p5b-math_short-u45-r2p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,2.0,63
mr-xfer-online-qwen25_1p5b-math_short-u45-r8p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,8.0,61
mr-xfer-online-qwen25_1p5b-math_short-u45-r8p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,8.0,62
mr-xfer-online-qwen25_1p5b-math_short-u45-r8p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,8.0,63
mr-xfer-online-qwen25_1p5b-math_short-u45-r16p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,16.0,61
mr-xfer-online-qwen25_1p5b-math_short-u45-r16p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,16.0,62
mr-xfer-online-qwen25_1p5b-math_short-u45-r16p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,16.0,63
mr-xfer-online-qwen25_1p5b-math_short-u55-r2p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,2.0,61
mr-xfer-online-qwen25_1p5b-math_short-u55-r2p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,2.0,62
mr-xfer-online-qwen25_1p5b-math_short-u55-r2p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,2.0,63
mr-xfer-online-qwen25_1p5b-math_short-u55-r8p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,8.0,61
mr-xfer-online-qwen25_1p5b-math_short-u55-r8p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,8.0,62
mr-xfer-online-qwen25_1p5b-math_short-u55-r8p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,8.0,63
mr-xfer-online-qwen25_1p5b-math_short-u55-r16p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,16.0,61
mr-xfer-online-qwen25_1p5b-math_short-u55-r16p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,16.0,62
mr-xfer-online-qwen25_1p5b-math_short-u55-r16p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,16.0,63
mr-xfer-online-qwen25_1p5b-math_short-u65-r2p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,2.0,61
mr-xfer-online-qwen25_1p5b-math_short-u65-r2p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,2.0,62
mr-xfer-online-qwen25_1p5b-math_short-u65-r2p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,2.0,63
mr-xfer-online-qwen25_1p5b-math_short-u65-r8p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,8.0,61
mr-xfer-online-qwen25_1p5b-math_short-u65-r8p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,8.0,62
mr-xfer-online-qwen25_1p5b-math_short-u65-r8p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,8.0,63
mr-xfer-online-qwen25_1p5b-math_short-u65-r16p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,16.0,61
mr-xfer-online-qwen25_1p5b-math_short-u65-r16p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,16.0,62
mr-xfer-online-qwen25_1p5b-math_short-u65-r16p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,16.0,63
mr-xfer-online-qwen25_1p5b-math_short-u80-r2p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,2.0,61
mr-xfer-online-qwen25_1p5b-math_short-u80-r2p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,2.0,62
mr-xfer-online-qwen25_1p5b-math_short-u80-r2p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,2.0,63
mr-xfer-online-qwen25_1p5b-math_short-u80-r8p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,8.0,61
mr-xfer-online-qwen25_1p5b-math_short-u80-r8p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,8.0,62
mr-xfer-online-qwen25_1p5b-math_short-u80-r8p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,8.0,63
mr-xfer-online-qwen25_1p5b-math_short-u80-r16p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,16.0,61
mr-xfer-online-qwen25_1p5b-math_short-u80-r16p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,16.0,62
mr-xfer-online-qwen25_1p5b-math_short-u80-r16p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,16.0,63
mr-xfer-online-qwen25_3b-math_short-u35-r1p0-s61,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,1.0,61
mr-xfer-online-qwen25_3b-math_short-u35-r1p0-s62,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,1.0,62
mr-xfer-online-qwen25_3b-math_short-u35-r1p0-s63,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,1.0,63
mr-xfer-online-qwen25_3b-math_short-u35-r4p0-s61,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,4.0,61
mr-xfer-online-qwen25_3b-math_short-u35-r4p0-s62,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,4.0,62
mr-xfer-online-qwen25_3b-math_short-u35-r4p0-s63,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,4.0,63
mr-xfer-online-qwen25_3b-math_short-u35-r8p0-s61,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,8.0,61
mr-xfer-online-qwen25_3b-math_short-u35-r8p0-s62,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,8.0,62
mr-xfer-online-qwen25_3b-math_short-u35-r8p0-s63,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,8.0,63
mr-xfer-online-qwen25_3b-math_short-u45-r1p0-s61,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,1.0,61
mr-xfer-online-qwen25_3b-math_short-u45-r1p0-s62,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,1.0,62
mr-xfer-online-qwen25_3b-math_short-u45-r1p0-s63,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,1.0,63
mr-xfer-online-qwen25_3b-math_short-u45-r4p0-s61,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,4.0,61
mr-xfer-online-qwen25_3b-math_short-u45-r4p0-s62,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,4.0,62
mr-xfer-online-qwen25_3b-math_short-u45-r4p0-s63,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,4.0,63
mr-xfer-online-qwen25_3b-math_short-u45-r8p0-s61,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,8.0,61
mr-xfer-online-qwen25_3b-math_short-u45-r8p0-s62,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,8.0,62
mr-xfer-online-qwen25_3b-math_short-u45-r8p0-s63,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,8.0,63
mr-xfer-online-qwen25_3b-math_short-u55-r1p0-s61,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,1.0,61
mr-xfer-online-qwen25_3b-math_short-u55-r1p0-s62,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,1.0,62
mr-xfer-online-qwen25_3b-math_short-u55-r1p0-s63,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,1.0,63
mr-xfer-online-qwen25_3b-math_short-u55-r4p0-s61,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,4.0,61
mr-xfer-online-qwen25_3b-math_short-u55-r4p0-s62,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,4.0,62
mr-xfer-online-qwen25_3b-math_short-u55-r4p0-s63,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,4.0,63
mr-xfer-online-qwen25_3b-math_short-u55-r8p0-s61,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,8.0,61
mr-xfer-online-qwen25_3b-math_short-u55-r8p0-s62,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,8.0,62
mr-xfer-online-qwen25_3b-math_short-u55-r8p0-s63,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,8.0,63
mr-xfer-online-qwen25_3b-math_short-u65-r1p0-s61,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,1.0,61
mr-xfer-online-qwen25_3b-math_short-u65-r1p0-s62,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,1.0,62
mr-xfer-online-qwen25_3b-math_short-u65-r1p0-s63,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,1.0,63
mr-xfer-online-qwen25_3b-math_short-u65-r4p0-s61,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,4.0,61
mr-xfer-online-qwen25_3b-math_short-u65-r4p0-s62,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,4.0,62
mr-xfer-online-qwen25_3b-math_short-u65-r4p0-s63,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,4.0,63
mr-xfer-online-qwen25_3b-math_short-u65-r8p0-s61,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,8.0,61
mr-xfer-online-qwen25_3b-math_short-u65-r8p0-s62,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,8.0,62
mr-xfer-online-qwen25_3b-math_short-u65-r8p0-s63,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,8.0,63
