experiment_id,run_group,study_stage,configuration_level,model_family,algorithm,dataset,model,data_dir,gpu_count,rollout_tp_size,actor_micro_batch,rollout_logprob_micro_batch,ref_logprob_micro_batch,vllm_gpu_memory_utilization,parameter_offload,optimizer_offload,free_cache_engine,max_prompt_length,max_response_length,max_model_len,max_num_seqs,rollout_n,train_batch_size,train_max_samples,val_max_samples,training_seed,total_training_steps,gpu_monitor_interval_ms,workload_name,custom_reward_function_path,custom_reward_function_name,revision_study,pair_id,condition,period,allocator_trace_enabled,allocator_trace_sync,resume_mode,save_freq,test_freq,val_before_train,max_actor_ckpt_to_keep
review-control-phi4_mini-gsm8k-s123-external_b8,review_instrumentation_batch,prospective_review_control,external_b8,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,123,1,100,,,,review_instrumentation_batch,phi4_mini-gsm8k-s123,external_b8,3,False,1,disable,-1,-1,False,1
review-control-phi4_mini-gsm8k-s123-full_b16,review_instrumentation_batch,prospective_review_control,full_b16,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,123,1,100,,,,review_instrumentation_batch,phi4_mini-gsm8k-s123,full_b16,4,True,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s121-external_b16,review_instrumentation_batch,prospective_review_control,external_b16,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,121,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s121,external_b16,1,False,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s121-full_b8,review_instrumentation_batch,prospective_review_control,full_b8,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,121,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s121,full_b8,2,True,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s121-full_b16,review_instrumentation_batch,prospective_review_control,full_b16,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,121,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s121,full_b16,3,True,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s121-external_b8,review_instrumentation_batch,prospective_review_control,external_b8,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,121,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s121,external_b8,4,False,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s122-external_b8,review_instrumentation_batch,prospective_review_control,external_b8,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,122,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s122,external_b8,1,False,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s122-external_b16,review_instrumentation_batch,prospective_review_control,external_b16,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,122,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s122,external_b16,2,False,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s122-full_b16,review_instrumentation_batch,prospective_review_control,full_b16,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,122,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s122,full_b16,3,True,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s122-full_b8,review_instrumentation_batch,prospective_review_control,full_b8,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,122,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s122,full_b8,4,True,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s123-full_b16,review_instrumentation_batch,prospective_review_control,full_b16,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,123,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s123,full_b16,1,True,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s123-full_b8,review_instrumentation_batch,prospective_review_control,full_b8,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,123,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s123,full_b8,2,True,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s123-external_b8,review_instrumentation_batch,prospective_review_control,external_b8,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,123,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s123,external_b8,3,False,1,disable,-1,-1,False,1
review-control-qwen25_3b-code_heavy_tail-s123-external_b16,review_instrumentation_batch,prospective_review_control,external_b16,qwen25_3b,grpo,code_heavy_tail,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,32,32,123,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score,review_instrumentation_batch,qwen25_3b-code_heavy_tail-s123,external_b16,4,False,1,disable,-1,-1,False,1
